"ward","shape_leng","shape_area"
"1","102569.70148","69757593.8542"
"10","144026.595563","548958842.58"
"11","82824.4632842","142093459.943"
"12","93073.3408379","116096507.849"
"13","91758.1670663","117333021.721"
"14","90165.7974072","143011018.899"
"15","82183.6948197","65588297.917"
"16","97901.3238332","103143638.546"
"17","100910.871779","113383616.514"
"18","65699.143324","183256966.765"
"19","102339.878771","214115105.843"
"2","110739.852187","53934808.8716"
"20","90105.1956185","137290356.97"
"21","53846.7782943","142463997.962"
"22","63985.118325","106633676.288"
"23","125226.472414","142982293.923"
"24","75191.5803706","104690374.815"
"25","105358.092147","124734729.578"
"26","69089.8822547","70391187.5645"
"27","130222.911895","163221187.276"
"28","119977.208819","142879662.243"
"29","107529.243573","128819108.627"
"3","81530.2751668","123341548.953"
"30","81026.9888174","73730115.3644"
"31","50635.7831536","69739758.4303"
"32","79455.8112626","85458138.8521"
"33","47062.4200753","70214893.3538"
"34","78608.6539809","175928766.112"
"35","67016.6379392","57297718.519"
"36","91959.9836412","88624184.1876"
"37","54306.074303","96123627.3494"
"38","89794.4594966","174307429.474"
"39","73079.9934303","175096482.287"
"4","119468.403755","126006901.096"
"40","48374.9136177","95929056.6812"
"41","252516.011482","484238238.97"
"42","62491.4598917","71494714.6921"
"43","48544.5349075","65206365.4153"
"44","46466.2721725","49422863.0048"
"45","76714.8413866","125334245.511"
"46","47937.9510595","53665279.3293"
"47","53371.3055095","87363636.3844"
"48","34831.9936751","44838916.158"
"49","38122.6928259","49733459.1385"
"5","102271.665896","115196005.523"
"50","46116.3788804","80692979.8113"
"6","69925.2023858","120539114.428"
"7","112151.646919","124077234.808"
"8","89830.3932001","162845783.237"
"9","111742.641889","257088769.485"
