"year","inmate_ID","force_used"
"2023","ETH-60616223","Yes"
"2023","ETH-23694361","Unknown"
"2023","ETH-18013550","Unknown"
"2023","ETH-74922443","Yes"
"2023","ETH-81770259","Yes"
"2023","ETH-67674265","Yes"
"2023","ETH-49128188","Yes"
"2023","ETH-37955683","Unknown"
"2023","ETH-60594529","Yes"
"2023","ETH-88278350","Yes"
"2023","ETH-24750952","Unknown"
"2023","ETH-10052431","Yes"
"2023","ETH-50466740","Yes"
"2023","ETH-60568275","Yes"
"2023","ETH-32124276","Unknown"
"2023","ETH-23733650","Yes"
"2023","ETH-66153590","Unknown"
"2023","ETH-47212818","Unknown"
"2023","ETH-43731373","Unknown"
"2023","ETH-51802395","Yes"
"2023","ETH-21013932","Yes"
"2023","ETH-62297133","Unknown"
"2023","ETH-54008990","Unknown"
"2023","ETH-13422469","Unknown"
"2023","ETH-27138752","Unknown"
"2023","ETH-52115771","Yes"
"2023","ETH-99570889","Unknown"
"2023","ETH-42322190","Unknown"
"2023","ETH-62942183","Unknown"
"2023","ETH-34408810","Yes"
"2023","ETH-22623366","Unknown"
"2023","ETH-46397571","Unknown"
"2023","ETH-85130760","Unknown"
"2023","ETH-62080439","Unknown"
"2023","ETH-76456655","Unknown"
"2023","ETH-96132036","Yes"
"2023","ETH-97279193","Unknown"
"2023","ETH-53314998","Yes"
"2023","ETH-30431216","Yes"
"2023","ETH-38592537","Yes"
"2023","ETH-54571842","Yes"
"2023","ETH-79674944","Unknown"
"2023","ETH-85484203","Yes"
"2023","ETH-57731065","Unknown"
"2023","ETH-59614394","Yes"
"2023","ETH-87779660","Unknown"
"2023","ETH-19200771","Yes"
"2023","ETH-34195454","Unknown"
"2023","ETH-19205629","Unknown"
"2023","ETH-68003409","Unknown"
