"year","incident_ID","incident_type"
"2023","IN-5782218","Use of Force"
"2023","IN-5043856","Assault"
"2023","IN-5043856","Use of Force"
"2023","IN-3127026","Assault"
"2023","IN-3127026","Threat"
"2023","IN-3127026","Use of Force"
"2023","IN-3127026","Serious Injury/Illness/Self Harm"
"2023","IN-8083759","Assault"
"2023","IN-8083759","Use of Force"
"2023","IN-5223932","Use of Force"
"2023","IN-7823656","Use of Force"
"2023","IN-2589143","Use of Force"
"2023","IN-8760778","Use of Force"
"2023","IN-8760778","Other"
"2023","IN-9678837","Assault"
"2023","IN-9678837","Use of Force"
"2023","IN-6832077","Use of Force"
"2023","IN-6832077","Serious Injury/Illness/Self Harm"
"2023","IN-8311538","Use of Force"
"2023","IN-1396835","Assault"
"2023","IN-1396835","Use of Force"
"2023","IN-4390997","Use of Force"
"2023","IN-2846351","Use of Force"
"2023","IN-5826490","Assault"
"2023","IN-5826490","Use of Force"
"2023","IN-7391953","Assault"
"2023","IN-7391953","Use of Force"
"2023","IN-8568725","Assault"
"2023","IN-8568725","Use of Force"
"2023","IN-5847013","Assault"
"2023","IN-5847013","Use of Force"
"2023","IN-3186434","Use of Force"
"2023","IN-1942240","Assault"
"2023","IN-1942240","Use of Force"
"2023","IN-5428742","Threat"
"2023","IN-5428742","Use of Force"
"2023","IN-5428742","Serious Injury/Illness/Self Harm"
"2023","IN-2277506","Assault"
"2023","IN-2277506","Use of Force"
"2023","IN-2277506","Serious Injury/Illness/Self Harm"
"2023","IN-6336836","Use of Force"
"2023","IN-2719133","Use of Force"
"2023","IN-3082352","Use of Force"
"2023","IN-5207531","Assault"
"2023","IN-5207531","Use of Force"
"2023","IN-5658122","Use of Force"
"2023","IN-4050959","Assault"
"2023","IN-4050959","Use of Force"
"2023","IN-4701678","Use of Force"
"2023","IN-8042176","Assault"
