"year","incident_ID","status"
"2023","IN-6447091","Final"
"2023","IN-6465395","Final"
"2023","IN-5156259","Final"
"2023","IN-7390784","Final"
"2023","IN-4390997","Final"
"2023","IN-8235251","Final"
"2023","IN-5560148","Final"
"2023","IN-5066357","Final"
"2023","IN-2687968","Final"
"2023","IN-3307125","Update"
"2023","IN-5188375","Final"
"2023","IN-4114165","Final"
"2023","IN-8941194","Final"
"2023","IN-2714104","Final"
"2023","IN-5782218","Initial"
"2023","IN-1208216","Update"
"2023","IN-7785317","Final"
"2023","IN-9183128","Final"
"2023","IN-8153577","Final"
"2023","IN-2856435","Final"
"2023","IN-1653709","Final"
"2023","IN-5915074","Final"
"2023","IN-3257834","Final"
"2023","IN-6638755","Final"
"2023","IN-9954032","Final"
"2023","IN-5043856","Initial"
"2023","IN-7075303","Final"
"2023","IN-9785804","Final"
"2023","IN-4293987","Final"
"2023","IN-3127026","Update"
"2023","IN-1919488","Final"
"2023","IN-5497474","Final"
"2023","IN-6358466","Final"
"2023","IN-8760778","Final"
"2023","IN-4351554","Final"
"2023","IN-8083759","Final"
"2023","IN-9796512","Final"
"2023","IN-5223932","Initial"
"2023","IN-2713192","Final"
"2023","IN-8799376","Final"
"2023","IN-1080771","Update"
"2023","IN-3166496","Final"
"2023","IN-7823656","Final"
"2023","IN-1475209","Final"
"2023","IN-5087781","Final"
"2023","IN-4235445","Final"
"2023","IN-2589143","Initial"
"2023","IN-2609394","Final"
"2023","IN-9761107","Final"
"2023","IN-5356442","Final"
