"year","incident_ID","inmate_ID"
"2023","IN-9954032","UOF-235595877717"
"2023","IN-4101720","UOF-235595877717"
"2023","IN-5923577","UOF-235595877717"
"2023","IN-2865047","UOF-235595877717"
"2023","IN-8263625","UOF-235595877717"
"2023","IN-1907971","UOF-550057325115"
"2023","IN-9589040","UOF-696623888559"
"2023","IN-2097151","UOF-800538663860"
"2023","IN-4802493","UOF-800538663860"
"2023","IN-3970265","UOF-800538663860"
"2023","IN-6552144","UOF-121591706413"
"2023","IN-4755119","UOF-121591706413"
"2023","IN-8337473","UOF-121591706413"
"2023","IN-4739662","UOF-121591706413"
"2023","IN-5232327","UOF-503897397153"
"2023","IN-6981967","UOF-503897397153"
"2023","IN-2654447","UOF-503897397153"
"2023","IN-1229360","UOF-503897397153"
"2023","IN-8985107","UOF-503897397153"
"2023","IN-7661982","UOF-503897397153"
"2023","IN-9665918","UOF-503897397153"
"2023","IN-8877842","UOF-503897397153"
"2023","IN-8447028","UOF-503897397153"
"2023","IN-5286931","UOF-503897397153"
"2023","IN-4793761","UOF-503897397153"
"2023","IN-1675129","UOF-503897397153"
"2023","IN-2886518","UOF-503897397153"
"2023","IN-2420667","UOF-503897397153"
"2023","IN-4099491","UOF-503897397153"
"2023","IN-6921529","UOF-544382381577"
"2023","IN-6359357","UOF-713562135633"
"2023","IN-3208092","UOF-305477554786"
"2023","IN-1420747","UOF-305477554786"
"2023","IN-4022578","UOF-290963869533"
"2023","IN-2491805","UOF-911748687731"
"2023","IN-6145386","UOF-209584735285"
"2023","IN-4914274","UOF-695925187575"
"2023","IN-3873544","UOF-430668929721"
"2023","IN-7982799","UOF-430668929721"
"2023","IN-6522131","UOF-430668929721"
"2023","IN-1161325","UOF-430668929721"
"2023","IN-2965364","UOF-109433736482"
"2023","IN-5810323","UOF-109433736482"
"2023","IN-9172573","UOF-109433736482"
"2023","IN-9316132","UOF-109433736482"
"2023","IN-3445809","UOF-644207104646"
"2023","IN-1436909","UOF-644207104646"
"2023","IN-5593597","UOF-195497632430"
"2023","IN-9299512","UOF-195497632430"
"2023","IN-7138045","UOF-332761232859"
