"year","inmate_ID","force_used"
"2023","IP-566982894846","Yes"
"2023","IP-283929742188","Unknown"
"2023","IP-416569886294","Unknown"
"2023","IP-267628717414","Yes"
"2023","IP-990111162085","Yes"
"2023","IP-331818754441","Yes"
"2023","IP-679170637204","Yes"
"2023","IP-974398894298","Unknown"
"2023","IP-887275201362","Yes"
"2023","IP-157194979770","Yes"
"2023","IP-707335294613","Unknown"
"2023","IP-392707872514","Yes"
"2023","IP-247073649907","Yes"
"2023","IP-314581684707","Yes"
"2023","IP-327605882804","Unknown"
"2023","IP-240107432872","Yes"
"2023","IP-880693299799","Unknown"
"2023","IP-445173523273","Unknown"
"2023","IP-777534057756","Unknown"
"2023","IP-440666632372","Yes"
"2023","IP-387530695467","Yes"
"2023","IP-675737432654","Unknown"
"2023","IP-694921156733","Unknown"
"2023","IP-415115171659","Unknown"
"2023","IP-794094477647","Unknown"
"2023","IP-852265705643","Yes"
"2023","IP-337060933121","Unknown"
"2023","IP-463309684749","Unknown"
"2023","IP-860407802706","Unknown"
"2023","IP-725978263287","Yes"
"2023","IP-605730875440","Unknown"
"2023","IP-652675091258","Unknown"
"2023","IP-740437668706","Unknown"
"2023","IP-865542398680","Unknown"
"2023","IP-569380991211","Unknown"
"2023","IP-926143767914","Yes"
"2023","IP-217832645712","Unknown"
"2023","IP-828802822415","Yes"
"2023","IP-435391497549","Yes"
"2023","IP-462720593579","Yes"
"2023","IP-534501871488","Yes"
"2023","IP-171198034581","Unknown"
"2023","IP-670592874077","Yes"
"2023","IP-875280974274","Unknown"
"2023","IP-909780067730","Yes"
"2023","IP-565290208419","Unknown"
"2023","IP-440536388372","Yes"
"2023","IP-357905217473","Unknown"
"2023","IP-615802157626","Unknown"
"2023","IP-509075691082","Unknown"
