"year","region","institution","number_of_incidents","number_unique_inmate_participant","number_unique_staff_participant","use_of_force_rate"
"2023","Central","Hamilton-Wentworth Detention Centre","205","287","186","11"
"2023","Central","Maplehurst Correctional Complex","624","758","429","14.3"
"2023","Central","Niagara Detention Centre","127","168","115","14.1"
"2023","Central","Vanier Centre for Women","214","176","180","23.1"
"2023","Eastern","Brockville Jail","36","35","62","18.6"
"2023","Eastern","Central East Correctional Centre","357","482","327","8.8"
"2023","Eastern","Ottawa-Carleton Detention Centre","227","239","214","11.3"
"2023","Eastern","Quinte Detention Centre","64","117","93","6.9"
"2023","Eastern","St. Lawrence Valley Correctional and Treatment Centre","8","11","32","2.4"
"2023","Northern","Algoma Treatment and Remand Centre","37","39","84","6.8"
"2023","Northern","Fort Frances Jail","3","5","6","4.3"
"2023","Northern","Kenora Jail","72","99","105","11.3"
"2023","Northern","Monteith Correctional Complex","81","92","93","10.7"
"2023","Northern","North Bay Jail","55","69","54","14.6"
"2023","Northern","Sudbury Jail","92","192","99","14.4"
"2023","Northern","Thunder Bay Correctional Centre","30","33","63","5.2"
"2023","Northern","Thunder Bay Jail","72","114","85","12.7"
"2023","Toronto","Toronto East Detention Centre","106","155","141","8.2"
"2023","Toronto","Toronto South Detention Centre","686","636","576","14.2"
"2023","Western","Central North Correctional Centre","184","282","273","5.1"
"2023","Western","Elgin-Middlesex Detention Centre","201","243","214","11.7"
"2023","Western","Sarnia Jail","17","24","32","5.5"
"2023","Western","South West Detention Centre","184","195","198","14.8"
"2023","Western","Stratford Jail","7","7","19","4.8"
"2024","Central","Hamilton-Wentworth Detention Centre","262","390","214","13.0482636346885"
"2024","Central","Maplehurst Correctional Complex","590","784","432","11.9856334915166"
"2024","Central","Niagara Detention Centre","113","174","117","10.3505445485605"
"2024","Central","Vanier Centre for Women","236","205","165","21.405313234107"
"2024","Eastern","Brockville Jail","30","38","55","13.5336310732169"
"2024","Eastern","Central East Correctional Centre","463","649","323","9.27751595011381"
"2024","Eastern","Ottawa-Carleton Detention Centre","299","310","244","12.9125316335432"
"2024","Eastern","Quinte Detention Centre","62","64","84","7.01135386981499"
"2024","Eastern","St. Lawrence Valley Correctional and Treatment Centre","7","8","11","2.11576243010428"
"2024","Northern","Algoma Treatment and Remand Centre","52","70","93","8.05976626677826"
"2024","Northern","Fort Frances Jail","6","11","12","7.73395204949729"
"2024","Northern","Kenora Jail","95","132","109","11.1237310164748"
"2024","Northern","Monteith Correctional Complex","69","75","89","8.8579644654411"
"2024","Northern","North Bay Jail","90","89","59","19.4166379012772"
"2024","Northern","Sudbury Jail","78","94","93","11.2409747942758"
"2024","Northern","Thunder Bay Correctional Centre","25","34","63","3.78357926598562"
"2024","Northern","Thunder Bay Jail","61","124","84","10.8949972315991"
"2024","Toronto","Toronto East Detention Centre","102","139","171","7.3813555642395"
"2024","Toronto","Toronto South Detention Centre","728","728","632","13.1594645110211"
"2024","Western","Central North Correctional Centre","148","251","242","3.28834813830615"
"2024","Western","Elgin-Middlesex Detention Centre","199","274","216","11.028352286582"
"2024","Western","Sarnia Jail","28","34","53","7.28256346233874"
"2024","Western","South West Detention Centre","180","202","182","13.4535180949818"
"2024","Western","Stratford Jail","11","8","18","8.12707794606576"
