"year","general_location","number_of_incidents"
"2023","Administration Areas/Offices","140"
"2023","Courthouse","1"
"2023","Elevator","1"
"2023","Hallway/Stairwell","177"
"2023","Health Care Area","28"
"2023","Hospital","82"
"2023","Institution (full)","2"
"2023","Interview Room","25"
"2023","Kitchen","3"
"2023","Other","19"
"2023","Program Area","48"
"2023","Recreation Area","30"
"2023","Shower","16"
"2023","Unit Range","3057"
"2023","Video Units","25"
"2023","Visiting Area","8"
"2023","Washroom","2"
"2023","Yard","25"
"2024","Administration Areas/Offices","138"
"2024","Elevator","4"
"2024","Grounds","1"
"2024","Hallway/Stairwell","172"
"2024","Health Care Area","32"
"2024","Hospital","111"
"2024","Institution (full)","4"
"2024","Interview Room","36"
"2024","Kitchen","3"
"2024","Other","23"
"2024","Program Area","61"
"2024","Recreation Area","43"
"2024","Shower","23"
"2024","Unit Range","3231"
"2024","Video Units","25"
"2024","Visiting Area","6"
"2024","Yard","21"
