"year","inmate_ID","force_used"
"2023","RACE-71599190","Yes"
"2023","RACE-81024042","Unknown"
"2023","RACE-53433909","Unknown"
"2023","RACE-23557419","Yes"
"2023","RACE-86871679","Yes"
"2023","RACE-93466142","Yes"
"2023","RACE-86970382","Yes"
"2023","RACE-71468363","Unknown"
"2023","RACE-87877974","Yes"
"2023","RACE-35698093","Yes"
"2023","RACE-73534080","Unknown"
"2023","RACE-82813375","Yes"
"2023","RACE-22152588","Yes"
"2023","RACE-58142025","Yes"
"2023","RACE-35726060","Unknown"
"2023","RACE-21286848","Yes"
"2023","RACE-94224898","Unknown"
"2023","RACE-18016344","Unknown"
"2023","RACE-13307626","Unknown"
"2023","RACE-55910203","Yes"
"2023","RACE-31890310","Yes"
"2023","RACE-72716311","Unknown"
"2023","RACE-69315927","Unknown"
"2023","RACE-11073556","Unknown"
"2023","RACE-47430794","Unknown"
"2023","RACE-44167689","Yes"
"2023","RACE-54253801","Unknown"
"2023","RACE-94034950","Unknown"
"2023","RACE-87090552","Unknown"
"2023","RACE-92009028","Yes"
"2023","RACE-21726675","Unknown"
"2023","RACE-16482963","Unknown"
"2023","RACE-43468220","Unknown"
"2023","RACE-56695088","Unknown"
"2023","RACE-30266732","Unknown"
"2023","RACE-70776238","Yes"
"2023","RACE-58278786","Unknown"
"2023","RACE-80824773","Yes"
"2023","RACE-56058390","Yes"
"2023","RACE-47711966","Yes"
"2023","RACE-50351881","Yes"
"2023","RACE-82589759","Unknown"
"2023","RACE-88833527","Yes"
"2023","RACE-40819383","Unknown"
"2023","RACE-92239349","Yes"
"2023","RACE-77484018","Unknown"
"2023","RACE-40394080","Yes"
"2023","RACE-67929152","Unknown"
"2023","RACE-51236932","Unknown"
"2023","RACE-64977357","Unknown"
