"year","inmate_ID","force_used"
"2023","REL-97523457","Yes"
"2023","REL-47998732","Unknown"
"2023","REL-67759830","Unknown"
"2023","REL-50209854","Yes"
"2023","REL-56718695","Yes"
"2023","REL-87220207","Yes"
"2023","REL-74561415","Yes"
"2023","REL-22080499","Unknown"
"2023","REL-76948838","Yes"
"2023","REL-63197951","Yes"
"2023","REL-36044197","Unknown"
"2023","REL-35271408","Yes"
"2023","REL-83896755","Yes"
"2023","REL-86831047","Yes"
"2023","REL-65420350","Unknown"
"2023","REL-70720577","Yes"
"2023","REL-45629633","Unknown"
"2023","REL-15372330","Unknown"
"2023","REL-12202271","Unknown"
"2023","REL-27430369","Yes"
"2023","REL-72185210","Yes"
"2023","REL-17720014","Unknown"
"2023","REL-86206379","Unknown"
"2023","REL-48235750","Unknown"
"2023","REL-34621575","Unknown"
"2023","REL-87494527","Yes"
"2023","REL-83483902","Unknown"
"2023","REL-11789441","Unknown"
"2023","REL-37340351","Unknown"
"2023","REL-37543619","Yes"
"2023","REL-69890561","Unknown"
"2023","REL-56542149","Unknown"
"2023","REL-52658848","Unknown"
"2023","REL-59187765","Unknown"
"2023","REL-71308302","Unknown"
"2023","REL-13617526","Yes"
"2023","REL-53588771","Unknown"
"2023","REL-43425747","Yes"
"2023","REL-42909986","Yes"
"2023","REL-78695837","Yes"
"2023","REL-26979880","Yes"
"2023","REL-79909315","Unknown"
"2023","REL-22098692","Yes"
"2023","REL-55624308","Unknown"
"2023","REL-90377053","Yes"
"2023","REL-84321315","Unknown"
"2023","REL-86119568","Yes"
"2023","REL-35858672","Unknown"
"2023","REL-98641949","Unknown"
"2023","REL-14050389","Unknown"
