"year","incident_type","level_one","number_of_incidents"
"2023","Assault","(P1) Serious Inmate on Inmate","65"
"2023","Assault","(P1) Serious Inmate on Staff (Requires contact)","188"
"2023","Assault","(P2) Inmate on Inmate - No serious injury or hospitalization","1041"
"2023","Assault","(P2) Inmate on Member of Public","3"
"2023","Assault","(P2) Inmate on Staff - No Serious Injury or Hospitalization - No contact","539"
"2023","Assault","Other or Unknown","47"
"2023","Serious Contraband","(P2) Alcohol","11"
"2023","Serious Contraband","(P2) Drugs","54"
"2023","Serious Contraband","(P2) Electronic Device","2"
"2023","Serious Contraband","(P2) Weapons","37"
"2023","Serious Contraband","Other or Unknown","16"
"2023","Serious Injury/Illness/Self Harm","(P2) Attempted Suicide","53"
"2023","Serious Injury/Illness/Self Harm","(P2) Hunger Strike","1"
"2023","Serious Injury/Illness/Self Harm","(P2) Overdose - Suspected overdose","8"
"2023","Serious Injury/Illness/Self Harm","(P2) Refuse Treatment","7"
"2023","Serious Injury/Illness/Self Harm","(P2) Self harm","92"
"2023","Serious Injury/Illness/Self Harm","(P2) Serious Illness","39"
"2023","Serious Injury/Illness/Self Harm","(P2) Serious Injury","77"
"2023","Serious Injury/Illness/Self Harm","Other or Unknown","30"
"2023","Threat","(P2) Inmate on Inmate","19"
"2023","Threat","(P2) Inmate on Member of Public","1"
"2023","Threat","(P2) Inmate on Staff","292"
"2023","Threat","Other or Unknown","22"
"2023","Use of Force","(P1) Contentious Use of Force","25"
"2023","Use of Force","(P1) Suspected Excessive Use of Force","10"
"2023","Use of Force","(P2) Chemical Munitions","743"
"2023","Use of Force","(P2) Impact Weapons","11"
"2023","Use of Force","(P2) Mechanical Restraints","2415"
"2023","Use of Force","(P2) Physical Restraints","2607"
"2023","Use of Force","(P2) Restraint Chair","32"
"2023","Use of Force","(P2) Spit Hood","46"
"2023","Use of Force","Institutional Crisis Intervention Team Activation or Deployment","165"
"2023","Use of Force","Other or Unknown","295"
"2024","Assault","(P1) Serious Inmate on Inmate","88"
"2024","Assault","(P1) Serious Inmate on Staff (Requires contact)","247"
"2024","Assault","(P2) Inmate on Inmate - No serious injury or hospitalization","1281"
"2024","Assault","(P2) Inmate on Member of Public","13"
"2024","Assault","(P2) Inmate on Staff - No Serious Injury or Hospitalization - No contact","538"
"2024","Assault","Other or Unknown","31"
"2024","Serious Contraband","(P2) Alcohol","4"
"2024","Serious Contraband","(P2) Drugs","59"
"2024","Serious Contraband","(P2) Weapons","63"
"2024","Serious Contraband","Other or Unknown","15"
"2024","Serious Injury/Illness/Self Harm","(P2) Attempted Suicide","39"
"2024","Serious Injury/Illness/Self Harm","(P2) Hunger Strike","3"
"2024","Serious Injury/Illness/Self Harm","(P2) Overdose - Suspected overdose","12"
"2024","Serious Injury/Illness/Self Harm","(P2) Refuse Medication","6"
"2024","Serious Injury/Illness/Self Harm","(P2) Refuse Treatment","14"
"2024","Serious Injury/Illness/Self Harm","(P2) Self harm","86"
"2024","Serious Injury/Illness/Self Harm","(P2) Serious Illness","53"
