"name","address","latitude","longitude",":@computed_region_7ccj_gre3",":@computed_region_ecxu_fw7u",":@computed_region_izdr_ja4x",":@computed_region_5jki_au6x",":@computed_region_mnf4_kaez",":@computed_region_da6r_6gkw"
"POLICE SERVICES - NORTHEAST DIVISION","14203 - 50 STREET NW","53.60503991263262","-113.41730142003281","83","189","2","3","7","4"
"ROYAL CANADIAN MOUNTED POLICE","11136 - 109 STREET NW","53.55984492708671","-113.50911929739945","3","220","3","1","5","2"
"POLICE SERVICES - WEST DIVISION","16505 - 100 AVENUE NW","53.538808087195235","-113.60674227242592","31","93","5","1","1","1"
"RCMP K DIVISION","11136 - 109 STREET NW","53.55984492708671","-113.50911929739945","3","220","3","1","5","2"
"POLICE SERVICES - SOUTHEAST DIVISION","104 - YOUVILLE DRIVE EAST NW","53.46000050776202","-113.42671444062009","111","46","9","7","3","11"
"POLICE SERVICES - CALDER COMMUNITY STATION","12520 - 132 AVENUE NW","53.59313886487417","-113.53865832870181","253","49","1","1","5","2"
"POLICE SERVICES - SOUTHWEST DIVISION","1351 - WINDERMERE WAY SW","53.43401240275048","-113.61622843444515","327","77","8","6","12","9"
"ROYAL CANADIAN MOUNTED POLICE","11140 - 109 STREET NW","53.56079802714599","-113.51010125424447","3","220","3","1","5","2"
"POLICE SERVICES - DOWNTOWN DIVISION","9620 - 103A AVENUE NW","53.547705967710215","-113.48481672331988","154","153","4","5","9","6"
"RCMP K DIVISION","11140 - 109 STREET NW","53.56079802714599","-113.51010125424447","3","220","3","1","5","2"
