"package_name","title","num_resources","metadata_modified","language","license"
"interventions-service-securite-incendie-montreal","Interventions des pompiers de Montréal",9,"2026-05-24T03:06:36.067574","FR","cc-by"
"communique-presse","Communiqués de presse",1,"2026-05-24T02:31:19.511742","FR","cc-by"
"reglements-municipaux","Règlements municipaux",1,"2026-05-24T00:03:20.813050","FR","cc-by"
"avis-alertes","Avis et alertes",2,"2026-05-24T00:02:21.129444","FR","cc-by"
"actes-criminels","Actes criminels",3,"2026-05-23T20:05:35.136481","FR","cc-by"
"casernes-pompiers","Casernes de pompiers sur l’île de Montréal",3,"2026-05-21T00:01:31.962872","FR","cc-by"
"videodiffusion-seances-instances-politiques","Vidéos des séances des instances décisionnelles",8,"2026-05-18T00:03:35.784723","FR","cc-by"
"bilan-mensuel-criminalite","Bilan mensuel sur la criminalité",4,"2026-05-12T14:25:57.428707","FR","cc-by"
"avis-deterioration","Avis de détérioration",1,"2026-05-07T13:11:36.849686","FR","cc-by"
"signalements-de-coyotes","Signalements de coyotes",4,"2026-05-06T19:35:17.128846","FR","cc-by"
"schema-transport","Schéma d'aménagement et de développement - Transport",12,"2026-04-01T20:30:46.358389","FR","cc-by"
"lieux-batiments-vocation-publique","Lieux et bâtiments à vocation publique",6,"2026-02-19T03:36:44.150998","FR","cc-by"
"collisions-routieres","Collisions routières",8,"2025-12-04T15:03:17.526102","FR","cc-by"
"plan-urbanisme-densite","Plan d'urbanisme - Densité de construction",2,"2025-12-02T17:26:36.724473","FR","cc-by"
"schema-environnement-milieux-naturels","Schéma d'aménagement et de développement - Environnement et milieux naturels",18,"2025-11-28T15:36:41.737051","FR","cc-by"
"schema-affectation-densite","Schéma d'aménagement et de développement - Affectation du sol et densité d'occupation",14,"2025-11-12T20:43:45.351616","FR","cc-by"
"limites-pdq-spvm","Limite des secteurs de poste de quartier de police",4,"2025-10-17T14:01:36.834299","FR","cc-by"
"carte-postes-quartier","Postes de police de quartier sur l’île de Montréal",3,"2025-10-14T20:15:57.494086","FR","cc-by"
"formation-ethique-personnes-elues","Personnes élues ayant suivi la formation obligatoire en éthique (archives)",1,"2025-10-10T17:53:44.028405","FR","cc-by"
"territoires-administratifs-des-casernes","Territoires administratifs des casernes",3,"2025-02-27T18:34:37.864648","FR","cc-by"
"schema-patrimoine-paysage","Schéma d'aménagement et de développement - Patrimoine et paysage",20,"2025-02-26T15:02:39.383360","FR","cc-by"
"schema-equipements-collectifs","Schéma d'aménagement et de développement - Équipements collectifs",18,"2025-02-26T15:01:17.144422","FR","cc-by"
"schema-economie","Schéma d'aménagement et de développement - Économie",6,"2025-02-24T21:02:09.356745","FR","cc-by"
