"boro_cd","shape_leng","shape_area"
"410","105822.37731","172077374.82"
"480","47338.7397953","32777561.3617"
"483","106865.598387","191997998.939"
"226","32824.8378966","50565041.6084"
"313","65789.3560939","88264690.3446"
"105","35288.334228","43790040.2362"
"110","35890.2517383","39073776.9725"
"164","32721.0976389","38312378.7025"
"303","36213.6753954","79461680.8513"
"501","153750.872939","377232250.138"
"109","34959.0732909","41894977.3028"
"310","44781.5736212","111344060.096"
"112","54703.6723606","77963565.8531"
"208","47810.4841413","92076275.5025"
"306","82147.9333294","85501531.3377"
"311","51534.1486814","103208262.266"
"315","115425.633792","131648744.157"
"355","23962.5206844","26138866.5073"
"212","84115.7970354","154906287.571"
"308","38231.9523475","45608392.302"
"111","59541.7678647","66160839.3634"
"201","33341.8761166","60399803.5242"
"407","145357.351384","328283930.189"
"481","53811.4157205","47567353.4436"
"414","210910.191895","195575764.237"
"484","227190.383588","120185011.53"
"211","45751.5385169","100314479.466"
"301","69237.8851133","131695537.73"
"408","70108.4497467","207556234.372"
"304","37006.8323908","56662993.0351"
"101","69433.3949824","41697039.426"
"403","41712.7776565","83474642.3521"
"228","122109.909742","92963915.5357"
"316","32977.6560803","51768935.2446"
"404","37018.4282373","65739644.1562"
"411","103435.424104","260361392.97"
"203","33499.6119409","44797246.3552"
"104","67545.6170269","49309977.3336"
"107","39863.2748644","53152657.7889"
"309","29933.9333458","45314584.5632"
"317","43327.143541","93819527.9066"
"402","72490.0366274","140010108.968"
"401","91024.7883656","171444172.581"
"207","44800.8494521","53307889.4398"
"227","28402.4946381","31430888.0329"
"202","48501.8416345","61808976.0651"
"210","268204.31241","178960089.754"
"206","35875.1740943","42662438.7522"
"209","62242.078477","114286070.392"
"302","73413.3394912","79320072.9456"
"406","42767.6460259","82703145.811"
"595","109747.114197","54528719.7992"
"106","42835.1444294","38730528.7748"
"108","53753.350478","55215032.0262"
"102","35010.7817382","37726553.4661"
"103","30506.7645171","46876297.5451"
"318","186797.347487","235661803.571"
"356","255182.568844","130181618.975"
"502","142725.561442","591513779.592"
"503","188996.895266","600343607.597"
"305","65095.8664221","155487816.737"
"409","50771.8328465","107378544.192"
"412","65920.1774205","267334172.092"
"413","140570.311305","350471221.801"
"405","70019.5522054","210393742.148"
"482","31980.7645541","24258137.0354"
"204","31359.7616051","55523624.26"
"205","29444.355019","38315502.3193"
"312","52244.0175079","99524807.4052"
"307","87448.4435161","104126438.231"
"314","49296.7845343","82174944.4605"
