"coundist","shape_leng","shape_area"
"42","220755.073719","201334161.93"
"45","56967.6277458","117904762.16"
"20","61223.0136998","144833268.528"
"19","185199.105694","334738191.261"
"30","75010.4317243","168734193.246"
"29","61867.7482341","127849353.462"
"51","208078.348","657989092.706"
"23","84551.726317","311520681.811"
"6","56770.1767619","82672686.9765"
"7","52375.0979226","55186139.5681"
"48","80753.2014816","109815036.183"
"46","252953.405582","277719689.762"
"36","39108.3612981","76224395.9821"
"41","51093.2789042","79271986.6813"
"38","179032.747485","151771973.63"
"47","147590.60322","147530656.961"
"43","58169.1091908","75477510.7941"
"12","58158.179181","131040795.784"
"13","328437.122626","328361698.264"
"18","64908.397939","110601769.896"
"2","41619.7152933","48322121.379"
"3","81955.3963075","76315832.3859"
"24","76779.5109682","186824790.631"
"25","47289.0324122","63861387.2476"
"35","53404.5078633","79440618.1811"
"34","83739.7042147","105180458.579"
"8","98056.4269773","106989875.914"
"9","41266.1267556","56263769.1432"
"49","179285.557444","330298818.461"
"50","216581.430117","665198742.902"
"26","85922.6558574","168180994.45"
"31","367887.446424","507654004.762"
"27","86551.9712181","210812077.831"
"28","59851.260356","175135463.164"
"15","50041.051399","102496347.072"
"17","85548.5142129","115114099.45"
"1","106727.603404","78109814.286"
"33","128723.547363","110198296.878"
"10","64423.4062626","76997843.7396"
"11","94385.135787","216986543.713"
"4","65741.0360877","66803001.7138"
"5","58083.630801","37752249.1985"
"14","50678.3711772","52585074.8021"
"32","344800.268816","358667930.035"
"37","66588.1268518","101031674.429"
"21","87223.8390714","130912211.275"
"22","100202.295898","150395657.511"
"16","49466.2997955","62082469.0564"
"44","62842.483633","99194858.1299"
"39","72283.5838559","118294455.373"
"40","54130.6499767","73666488.5106"
