"precinct","shape_leng","shape_area"
"1","80093.4903098","47284748.3277"
"5","18807.0806071","18094771.1614"
"6","27255.9913162","22143015.2104"
"7","17287.6550605","18366631.6614"
"9","19772.5107407","21395386.2579"
"10","40227.2127946","27265501.1467"
"13","27719.2073762","29507656.2064"
"14","20973.8078714","20511123.2952"
"17","26721.134881","22269254.5491"
"18","41625.1777657","32250199.6396"
"19","30595.1082128","48791519.176"
"20","27069.9614173","27673868.6262"
"22","32712.4550439","38312247.3038"
"23","19427.8845417","21466676.4002"
"24","20707.0069544","25478124.0678"
"25","52199.2567518","44791496.8884"
"26","23941.628589","23831004.2206"
"28","17106.149311","15294021.729"
"30","21643.9271576","18846826.0025"
"32","25565.1431425","23027115.9345"
"33","22108.8378895","25729906.2757"
"34","44062.4075417","52225487.412"
"40","33440.2791599","60400182.0792"
"41","51164.9537885","62133122.7675"
"42","33500.0355949","44796464.503"
"43","62324.7273037","113318841.428"
"44","31464.1348533","55511813.0091"
"45","308956.572876","271935969.061"
"46","29392.712886","38333401.8841"
"47","86739.7587988","160507594.083"
"48","34481.7593365","42477717.4872"
"49","45771.8047315","105804895.14"
"50","52378.1573004","136147177.654"
"52","65959.2832631","80713446.3819"
"60","66071.5486352","88285216.2378"
"61","130311.290776","134678466.062"
"62","51711.9587216","103226470.108"
"63","202328.696829","229666908.448"
"66","52386.8457725","99486055.5289"
"67","43255.8834713","93814965.1018"
"68","44450.5089517","111014688.761"
"69","116837.943455","106837543.888"
"70","49079.9825729","82179703.9286"
"71","29932.0150878","45314930.9393"
"72","89327.0647503","104513064.473"
"73","32980.2286193","51756565.4296"
"75","106318.158135","180493593.59"
"76","68525.2851178","48269260.0439"
"77","34769.2539127","42657454.3351"
"78","40011.4306009","67784640.6954"
"79","28256.92722","44975553.0418"
"81","28386.9339062","34486158.5242"
"83","36960.7264509","56648687.4243"
"84","37464.3550289","35447996.8405"
"88","53361.0207406","42376254.6624"
"90","51616.1707661","66152984.7916"
"94","44667.0672853","65580916.3772"
"100","279549.012627","204835461.247"
"101","80615.8747014","86031627.307"
"102","52811.6999948","132862609.471"
"103","48603.4384664","100909187.497"
"104","75807.8283923","210559700.878"
"105","74008.3518653","203473225.992"
"106","107427.15469","173408707.651"
"107","69369.8783269","207595272.368"
"108","73735.4441211","139470101.521"
"109","137187.984652","322631191.377"
"110","72992.0105752","111950931.979"
"111","103219.106818","260358806.163"
"112","42559.5757117","89209011.6068"
"113","198273.061676","366037424.016"
"114","114656.696727","179509299.42"
"115","60082.4762837","114141486.736"
"116","73462.6530898","164417742.818"
"120","92950.4018327","232333196.87"
"121","136811.464647","475577637.857"
"122","154846.589526","454846641.466"
"123","120808.10796","460860882.23"
