"schooldist","shape_leng","shape_area"
"4","52078.4121687","52615581.637"
"6","68834.8677646","96344639.8169"
"3","51937.1814164","113406260.551"
"5","44537.0324351","52531986.7499"
"26","131630.790269","424301105.723"
"29","135111.043425","420205351.274"
"7","65300.0185986","92258640.511"
"13","85965.4275332","104855429.3"
"32","37250.0567405","51900073.7313"
"10","94957.0332923","282542404.443"
"9","44446.7984525","82980164.2705"
"23","40300.0555696","47400657.7739"
"31","430050.954407","1604152012.73"
"25","176207.832338","443790983.668"
"11","304543.084427","393232475.699"
"12","48673.1286265","69088751.7068"
"8","222023.600151","258761405.698"
"28","115756.895084","247503527.113"
"1","28649.0133569","35163878.2657"
"2","207559.82323","279509484.97"
"19","173939.599519","199876840.529"
"27","572125.316141","790728113.961"
"20","94300.5303015","242737406.999"
"21","123832.398945","210270499.015"
"18","120925.186678","175191726.722"
"24","128539.571531","395020830.541"
"30","152553.554666","318136448.33"
"22","268955.903362","385852624.782"
"15","153438.257461","196155134.846"
"17","68355.1716485","128435698.429"
"14","97002.2934432","150290702.279"
"16","35848.908574","46763798.8286"
"10","7883.37166388","3282963.03108"
