"name","address","urllink","geo_local_area","lon","lat"
"Hastings","3096 E Hastings St","http://vancouver.ca/parks/cc/hastings/index.htm","Hastings-Sunrise",-123.0393,49.2809
"Thunderbird","2311 Cassiar St","http://vancouver.ca/parks/cc/thunderbird/index.htm","Hastings-Sunrise",-123.0321,49.2636
"Killarney","6260 Killarney St","http://vancouver.ca/parks/cc/killarney/index.htm","Killarney",-123.0444,49.2274
"Hillcrest","4575 Clancy Loranger Way","http://vancouver.ca/parks-recreation-culture/hillcrest-centre.aspx","Riley Park",-123.1079,49.2438
"Sunset","6810 Main St","http://vancouver.ca/parks/cc/sunset/index.htm","Sunset",-123.1006,49.2229
"Trout Lake","3360 Victoria Drive","http://vancouver.ca/parks/cc/troutlake/index.htm","Kensington-Cedar Cottage",-123.0655,49.2553
"West End","870 Denman St","http://vancouver.ca/parks/cc/westend/index.htm","West End",-123.1361,49.2899
"Roundhouse","181 Roundhouse Mews","http://vancouver.ca/parks/cc/roundhouse/index.htm","Downtown",-123.1217,49.2733
"Gathering Place Community Centre","609 Helmcken St","http://vancouver.ca/parks-recreation-culture/gathering-place-community-centre.aspx","Downtown",-123.1235,49.278
"Evelyne Saller Centre","320 Alexander St","http://vancouver.ca/parks-recreation-culture/evelyne-saller-centre.aspx","Strathcona",-123.0971,49.2839
"Renfrew Park","2929 E 22nd Av","http://vancouver.ca/parks/cc/renfrew/index.htm","Renfrew-Collingwood",-123.043,49.2524
"West Point Grey","4397 W 2nd Av","http://vancouver.ca/parks/cc/westptgrey/index.htm","West Point Grey",-123.2045,49.2718
"False Creek","1318 Cartwright St","http://vancouver.ca/parks/cc/falsecreek/index.htm","Fairview",-123.134,49.2694
"Coal Harbour","480 Broughton St","http://vancouver.ca/parks/cc/westend/index.htm","Downtown",-123.1259,49.2902
"Douglas Park","801 W 22nd Av","http://vancouver.ca/parks/cc/douglas/index.htm","South Cambie",-123.1213,49.2529
"Kitsilano War Memorial","2690 Larch St","http://vancouver.ca/parks/cc/kitsilano/index.htm","Kitsilano",-123.1601,49.2621
"Creekside","1 Athletes Way","http://vancouver.ca/parks/cc/creekside/index.htm","Mount Pleasant",-123.1056,49.2718
"Carnegie Centre","401 Main St","http://vancouver.ca/commsvcs/CARNEGIECENTRE/index.htm","Downtown",-123.1001,49.2811
"Dunbar","4747 Dunbar St","http://vancouver.ca/parks/cc/dunbar/index.htm","Dunbar-Southlands",-123.1883,49.2428
"Kensington","5175 Dumfries St","http://vancouver.ca/parks/cc/kensington/index.htm","Kensington-Cedar Cottage",-123.0755,49.2385
"Mount Pleasant","1 Kingsway","http://vancouver.ca/parks/cc/mtpleasant/index.htm","Mount Pleasant",-123.1002,49.2643
"Strathcona","601 Keefer St","http://vancouver.ca/parks/cc/strathcona/index.htm","Strathcona",-123.0915,49.2798
"Kerrisdale","5851 West Boulevard","http://vancouver.ca/parks/cc/kerrisdale/index.htm","Kerrisdale",-123.1571,49.2332
"Britannia","1661 Napier St","http://vancouver.ca/parks/cc/britannia/index.htm","Grandview-Woodland",-123.0738,49.2756
"Marpole-Oakridge","990 W 59th Av","http://vancouver.ca/parks/cc/marpole/index.htm","Marpole",-123.1275,49.2145
"Champlain Heights","3350 Maquinna Drive","http://vancouver.ca/parks/cc/champla/index.htm","Killarney",-123.0321,49.2144
"Ray-Cam Co-Operative Center","920 E Hastings St","http://vancouver.ca/parks/cc/raycam/index.htm","Strathcona",-123.0841,49.2807
