"name","address","geo_local_area"
"No 5","3090 Rosemont Drive","Killarney"
"No 14","2804 Venables St","Hastings-Sunrise"
"No 15","3003 E 22nd Av","Renfrew-Collingwood"
"No 17","7070 Knight St","Victoria-Fraserview"
"No 20","5402 Victoria Drive","Kensington-Cedar Cottage"
"No 21","5425 Carnarvon St","Dunbar-Southlands"
"No 22","1005 W 59th Av","Marpole"
"No 2","199 Main St","Downtown"
"No 3","2801 Quebec St","Mount Pleasant"
"No 6","1001 Nicola St","West End"
"No 7","1090 Haro St","West End"
"No 9","1805 Victoria Drive","Grandview-Woodland"
"No 13","4013 Prince Albert ST","Kensington-Cedar Cottage"
"No 18","1375 W 38th Av","Shaughnessy"
"No 10","2992 Wesbrook Mall",NA
"No 4","1475 W 10th Av","Fairview"
"No 8","895 Hamilton St","Downtown"
"No 12","2460 Balaclava St","Kitsilano"
"No 19","4396 W 12th Av","West Point Grey"
"No 1","900 Heatley Av","Strathcona"
